"受訪者編號","訪問年","訪問月","性別","出生民國年","出生月","現居地","住宅種類","上網_高中","上網_大學","學校種類","課程難易度","學校規定與作息","到朋友家過夜","每天幾點鐘要回家","穿著和儀容","生活作息","上網的時間","交男／女朋友","金錢使用","工作選擇","父親目前的健康","向父親說心事","母親目前的健康","向母親說心事","中低收入戶生活補助","重大傷病、傷病醫療補助","生活過得快樂嗎","生活過得好不好","網癮_1","網癮_2","網癮_3","網癮_4","網癮_5","教育排名","出生西元年","年齡"
5021241,2022,4,2,91,4,231,7,5,-10,9,1,1,2,3,1,1,1,3,2,2,3,4,3,3,0,0,5,6,1,1,1,1,2,3,2002,20
5021242,2022,4,1,92,3,807,8,-10,7,13,-10,-10,2,2,1,1,1,2,2,2,1,4,1,4,0,0,5,6,1,2,1,2,2,-10,2003,19
5021411,2022,1,2,90,1,406,7,-10,3,13,-10,-10,2,2,2,2,3,1,2,2,3,3,3,2,0,0,5,6,2,3,3,3,2,-10,2001,21
5021412,2022,4,2,91,12,701,7,-10,10,13,-10,-10,2,2,1,2,1,2,2,2,2,2,2,1,0,0,5,5,3,5,2,2,3,-10,2002,19
5021423,2022,1,2,88,3,251,8,-10,-10,12,-10,-10,4,2,3,3,3,-6,3,3,2,-8,2,-8,-8,-8,6,5,4,4,2,4,4,-10,1999,22
5021511,2022,4,1,92,1,220,8,-10,4,12,-10,-10,2,2,3,2,2,2,2,3,3,5,2,5,0,0,6,6,4,3,3,3,2,-10,2003,19
5021541,2022,4,1,92,11,261,2,10,-10,8,1,1,2,2,1,2,2,1,2,1,3,5,2,3,0,0,7,7,3,2,3,4,1,4,2003,18
5021581,2022,4,1,89,7,261,2,-10,-10,8,-10,-10,3,2,2,2,1,1,1,1,3,4,3,4,0,0,6,6,2,1,2,2,4,-10,2000,21
5120594,2022,3,2,88,5,439,2,-10,10,14,-10,-10,3,3,2,3,3,3,2,2,3,3,3,4,0,0,5,4,4,3,2,3,3,-10,1999,22
5132401,2022,3,1,93,1,513,4,5,-10,8,2,1,2,2,1,3,1,2,1,1,3,4,3,4,0,0,7,7,2,2,3,2,2,2,2004,18
5133431,2022,3,1,88,10,513,4,-10,-10,5,-10,-10,2,2,2,2,2,2,2,2,6,-10,2,3,0,0,6,6,3,3,3,3,3,-10,1999,22
5142261,2022,4,2,88,4,514,4,-10,-10,9,-10,-10,3,3,3,3,2,3,3,3,3,3,3,3,0,0,7,6,2,2,2,2,2,-10,1999,23
5142401,2022,3,1,88,7,514,4,-10,-10,5,-10,-10,1,1,1,1,1,1,1,1,1,5,1,5,0,0,7,7,5,2,2,2,2,-10,1999,22
5143161,2022,4,2,92,7,811,97,-10,4,13,-10,-10,2,3,2,2,1,3,1,1,2,3,3,3,0,0,7,7,3,4,4,3,4,-10,2003,18
5143341,2022,2,2,87,12,912,1,-10,-10,6,-10,-10,1,1,1,1,1,1,2,1,3,5,3,4,0,0,4,4,1,1,1,1,1,-10,1998,23
5143371,2022,3,2,94,1,500,7,3,-10,5,2,1,3,2,1,2,1,2,2,2,3,5,3,3,0,0,5,6,4,4,4,3,3,2,2005,17
5143392,2022,3,1,93,1,407,4,9,-10,8,3,1,2,2,2,3,1,2,2,3,1,5,1,5,0,0,4,5,3,4,3,3,3,1,2004,18
