"受訪者編號","訪問年","訪問月","性別","出生民國年","出生月","現居地","住宅種類","上網_高中","上網_大學","學校種類","教育排名_2018_2020","課程難易度","學校規定與作息","到朋友家過夜","每天幾點鐘要回家","穿著和儀容","生活作息","上網的時間","交男／女朋友","金錢使用","工作選擇","父親目前的健康","向父親說心事","母親目前的健康","向母親說心事","中低收入戶生活補助","重大傷病、傷病醫療補助","生活過得快樂嗎","生活過得好不好","網癮_1","網癮_2","網癮_3","網癮_4","網癮_5","高等教育排名_2022","大學教育排名_2022"
5011062,109,2,2,86,6,260,2,4,0,8,2,3,2,2,2,2,3,3,3,3,2,1,4,2,4,2,2,6,5,3,3,2,3,3,NA,NA
5011291,109,1,2,88,4,320,8,0,6,13,0,0,0,1,1,3,2,1,2,2,2,2,5,3,3,0,0,4,3,3,1,2,5,2,NA,NA
5011292,109,1,1,92,12,261,4,4,0,5,2,3,2,6,2,1,3,3,6,1,1,3,5,3,2,0,0,4,5,2,2,5,2,1,NA,NA
5011501,109,1,2,91,11,261,4,5,0,5,1,2,1,1,1,1,1,2,1,2,2,2,4,1,4,0,0,3,4,1,1,2,1,2,NA,NA
5020262,109,1,1,88,10,261,8,0,10,13,0,0,0,3,3,2,3,2,2,2,4,3,4,4,4,0,0,6,7,1,1,3,3,1,NA,NA
5021041,109,1,2,88,4,413,7,0,10,12,0,0,0,3,2,1,2,1,2,3,3,4,5,4,5,0,0,4,4,1,2,1,1,4,NA,NA
5021042,109,4,1,89,3,261,3,0,0,4,0,0,0,2,2,1,2,1,1,2,1,3,3,3,3,2,2,4,3,1,1,1,1,2,NA,NA
5021043,109,3,1,92,1,261,4,4,0,7,4,2,2,2,2,1,2,1,2,3,2,3,4,3,4,0,0,4,4,2,3,3,2,3,NA,NA
5021151,109,3,1,90,6,236,2,0,0,8,0,0,0,4,4,1,3,2,2,2,2,3,4,3,4,0,0,5,6,3,3,2,2,4,NA,NA
5021152,109,3,1,92,5,261,2,4,0,8,3,2,2,6,2,6,3,3,8,8,6,1,3,1,4,0,0,7,7,1,1,3,1,1,NA,NA
5021171,109,3,1,89,12,261,5,5,0,9,4,2,2,2,1,1,3,1,1,2,2,4,5,3,5,0,0,5,2,5,5,3,3,3,NA,NA
5021241,109,1,2,91,4,261,7,4,0,9,4,2,1,3,3,1,1,1,3,1,3,3,5,3,3,0,0,6,5,1,1,1,1,1,NA,NA
5021242,109,1,1,92,3,261,2,5,0,5,3,1,1,3,3,1,2,1,1,3,2,3,4,3,4,0,0,6,6,1,1,1,1,1,NA,NA
5021411,109,1,2,90,1,261,4,0,4,13,0,0,0,3,6,2,3,3,3,2,3,3,3,4,2,0,0,5,3,3,4,2,4,4,NA,NA
5021412,109,2,2,91,12,261,4,2,0,5,4,2,1,4,4,3,3,4,2,3,2,1,2,1,1,0,0,6,5,1,4,2,1,2,NA,NA
5021423,109,2,2,88,3,262,96,0,99,12,0,0,0,3,4,2,3,3,2,2,2,3,4,3,4,0,0,5,4,2,2,2,3,3,NA,NA
5021511,109,2,1,92,1,999,8,3,0,5,3,1,3,6,6,3,3,3,6,3,6,3,5,2,5,0,0,6,6,2,2,2,2,4,NA,NA
5021541,109,3,1,92,11,261,4,5,0,8,3,2,1,3,3,2,3,3,2,3,3,3,4,3,3,0,0,6,6,3,2,1,4,4,NA,NA
5021581,109,3,1,89,7,261,5,0,0,8,0,0,0,4,2,2,2,1,3,1,2,3,4,3,4,0,0,5,5,3,3,2,2,3,NA,NA
5021601,109,1,1,85,3,261,4,0,0,8,0,0,0,2,2,1,1,1,1,1,1,1,5,1,5,0,0,7,7,1,1,1,1,1,NA,NA
5021602,109,1,1,86,5,261,4,0,0,8,0,0,0,1,1,1,1,1,1,1,1,96,6,96,6,0,0,6,7,3,1,3,3,3,NA,NA
