respondent_id,survey_year,survey_month,gender,birth_year_tw,birth_month,residence,housing_type,school_type,course_difficulty,school_rules_schedule,sleepover_friends,curfew_time,dress_appearance,daily_routine,internet_time,relationship_status,money_usage,job_choice,father_health,talk_to_father,mother_health,talk_to_mother,life_happiness,life_quality,internet_addiction_1,internet_addiction_2,internet_addiction_3,internet_addiction_4,internet_addiction_5,edu_rank_combined,internet_use_combined_ten,internet_use_combined
2002041,2018,2,1,83,9,200,2,12,NA,NA,1,2,2,1,2,1,2,2,2,3,3,4,7,5,NA,NA,NA,NA,NA,NA,NA,NA
2002042,2018,2,2,86,11,320,7,12,NA,NA,4,2,3,3,2,4,3,2,3,3,3,3,5,5,NA,NA,NA,NA,NA,NA,4,2
2002181,2018,2,1,86,7,711,7,13,NA,NA,1,3,1,2,1,2,2,1,3,5,2,5,6,6,NA,NA,NA,NA,NA,NA,7,4
2002182,2018,2,2,87,9,710,2,12,NA,NA,4,2,1,2,2,2,2,3,3,4,2,2,7,6,NA,NA,NA,NA,NA,NA,7,4
2003031,2018,2,1,89,10,200,2,8,2,1,2,2,3,3,3,NA,3,NA,1,5,1,5,4,5,NA,NA,NA,NA,NA,3,3,2
2003032,2018,2,1,90,9,200,2,8,2,1,4,2,3,3,3,1,3,2,2,5,NA,5,5,5,NA,NA,NA,NA,NA,2,10,5
2003351,2018,2,1,90,5,200,8,5,2,1,3,2,2,3,3,2,2,2,1,4,1,3,5,6,NA,NA,NA,NA,NA,4,4,2
2010301,2018,2,1,86,1,552,4,12,NA,NA,3,2,1,2,2,1,1,3,3,5,3,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA
2010421,2018,2,2,84,1,552,8,10,NA,NA,1,1,1,2,2,2,1,2,3,5,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
2010422,2018,2,2,85,1,552,5,6,NA,NA,4,3,2,3,1,2,3,3,3,5,3,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA
2010423,2018,1,1,87,2,552,7,13,NA,NA,3,3,3,3,3,3,3,2,3,4,4,4,5,4,NA,NA,NA,NA,NA,NA,7,4
2011152,2018,2,2,84,11,552,4,9,NA,NA,2,2,1,2,2,2,2,2,6,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
2011243,2018,2,1,86,11,552,7,8,NA,NA,2,2,2,2,2,2,1,1,3,4,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
2011342,2018,4,2,83,10,552,2,8,NA,NA,2,1,3,1,1,NA,1,1,6,NA,2,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA
2011351,2018,2,1,83,10,235,8,13,NA,NA,3,3,2,3,2,1,2,2,2,5,2,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA
2011352,2018,2,1,86,1,235,8,13,NA,NA,2,2,1,3,1,1,2,3,1,4,1,4,7,7,NA,NA,NA,NA,NA,NA,4,2
2011382,2018,2,2,84,5,552,2,6,NA,NA,3,2,2,3,3,3,3,3,6,NA,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA
2011383,2018,2,2,85,10,552,7,9,NA,NA,2,2,2,2,2,2,3,2,6,NA,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA
